City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Fălciu,46.2961,28.1408,68.65,92,12,2.89,RO,1628124561
Lavrentiya,65.5833,-171.0,60.71,72,12,20.33,RU,1628124562
Punta Arenas,-53.15,-70.9167,46.51,71,0,11.5,CL,1628124562
Lakeway,30.3638,-97.9796,88.25,65,1,3.0,US,1628124563
Pinerovka,51.562,43.0689,62.22,68,19,3.51,RU,1628124564
Bredasdorp,-34.5322,20.0403,56.52,88,18,0.0,ZA,1628124564
Cape Town,-33.9258,18.4232,58.87,93,75,3.0,ZA,1628124565
Hilo,19.7297,-155.09,79.25,75,90,8.05,US,1628124566
Mahébourg,-20.4081,57.7,68.29,68,40,14.97,MU,1628124566
Ushuaia,-54.8,-68.3,47.86,61,40,8.05,AR,1628124272
Atuona,-9.8,-139.0333,77.76,65,2,9.75,PF,1628124291
Hong Kong,22.2855,114.1577,83.32,92,100,3.0,HK,1628124168
Castro,-24.7911,-50.0119,46.49,97,33,5.95,BR,1628124568
Ahipara,-35.1667,173.1667,60.1,74,100,10.83,NZ,1628124569
Grand Gaube,-20.0064,57.6608,68.4,78,81,3.0,MU,1628124570
Saint George,37.1041,-113.5841,109.87,11,1,3.0,US,1628124421
Malešići,44.7381,18.2739,68.88,49,20,4.9,BA,1628124571
Kavieng,-2.5744,150.7967,83.32,72,20,4.29,PG,1628124571
Airai,-8.9266,125.4092,69.58,54,13,5.91,TL,1628124572
Pisco,-13.7,-76.2167,62.65,88,75,6.91,PE,1628124573
Provideniya,64.3833,-173.3,60.91,59,75,15.66,RU,1628124573
Thompson,55.7435,-97.8558,60.96,48,40,8.05,CA,1628124574
Bārmer,25.75,71.3833,79.21,76,8,11.56,IN,1628124575
Tumaco,1.7986,-78.8156,76.89,86,100,6.22,CO,1628124575
Limoeiro do Norte,-5.1456,-38.0981,79.56,59,45,7.2,BR,1628124314
George Town,5.4112,100.3354,82.33,87,20,1.01,MY,1628124526
Quatre Cocos,-20.2078,57.7625,68.11,66,99,17.67,MU,1628124577
Albany,42.6001,-73.9662,70.41,77,100,3.13,US,1628124457
Nizhniy Odes,63.6445,54.856,59.94,80,100,4.81,RU,1628124578
Grindavik,63.8424,-22.4338,55.35,100,75,3.44,IS,1628124578
Nānākuli,21.3906,-158.1547,87.75,53,20,14.97,US,1628124579
Sechura,-5.5569,-80.8222,67.35,73,0,14.16,PE,1628124580
Saint-Philippe,-21.3585,55.7679,65.75,79,88,15.03,RE,1628124580
Port-Cartier,50.0334,-66.8654,57.31,74,0,7.34,CA,1628124581
Hobart,-42.8794,147.3294,56.01,66,40,3.0,AU,1628124582
Duku,11.2361,4.9073,73.35,95,100,4.72,NG,1628124583
Nikolskoye,59.7035,30.7861,54.81,76,41,3.09,RU,1628124583
Carnarvon,-24.8667,113.6333,51.87,36,0,11.5,AU,1628124584
Juneau,58.3019,-134.4197,62.65,91,90,9.22,US,1628124585
Krasnogorodskoye,56.8357,28.2822,53.8,88,100,2.26,RU,1628124586
Trelew,-43.249,-65.3051,62.35,32,8,29.89,AR,1628124586
Ōfunato,39.0717,141.7167,86.95,69,0,4.76,JP,1628124587
New Norfolk,-42.7826,147.0587,55.65,66,100,4.0,AU,1628124588
Half Moon Bay,37.4636,-122.4286,84.92,77,40,23.02,US,1628124503
Campbell River,50.0163,-125.2446,88.18,38,20,4.61,CA,1628124589
Rodrigues Alves,-7.738,-72.6509,72.0,56,2,1.32,BR,1628124590
Januária,-15.4833,-44.3667,69.69,49,66,7.9,BR,1628124591
Port Elizabeth,-33.918,25.5701,61.11,94,0,8.05,ZA,1628124591
